model,ens,exp,postprocess,table,grid,varn,period,mean
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,1.07
CAMS-CSM1-0,r2i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,0.96
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2021-2040,1.32
CNRM-ESM2-1,r2i1p1f2,ssp119,global_mean,Amon,gr,tas,2021-2040,1.26
CNRM-ESM2-1,r3i1p1f2,ssp119,global_mean,Amon,gr,tas,2021-2040,1.39
CNRM-ESM2-1,r4i1p1f2,ssp119,global_mean,Amon,gr,tas,2021-2040,1.52
CNRM-ESM2-1,r5i1p1f2,ssp119,global_mean,Amon,gr,tas,2021-2040,1.41
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.16
CanESM5,r1i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.40
CanESM5,r2i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.30
CanESM5,r2i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.29
CanESM5,r3i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.32
CanESM5,r3i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.27
CanESM5,r4i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.34
CanESM5,r4i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.23
CanESM5,r5i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.23
CanESM5,r5i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.33
CanESM5,r6i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.29
CanESM5,r6i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.38
CanESM5,r7i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.25
CanESM5,r7i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.37
CanESM5,r8i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.25
CanESM5,r8i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.29
CanESM5,r9i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.28
CanESM5,r9i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.34
CanESM5,r10i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.19
CanESM5,r10i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.29
CanESM5,r11i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.29
CanESM5,r11i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.32
CanESM5,r12i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.38
CanESM5,r12i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.30
CanESM5,r13i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.35
CanESM5,r13i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.39
CanESM5,r14i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.25
CanESM5,r14i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.32
CanESM5,r15i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.41
CanESM5,r15i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.28
CanESM5,r16i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.21
CanESM5,r16i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.32
CanESM5,r17i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.15
CanESM5,r17i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.31
CanESM5,r18i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.21
CanESM5,r18i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.44
CanESM5,r19i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.26
CanESM5,r19i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.43
CanESM5,r20i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.24
CanESM5,r20i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.35
CanESM5,r21i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.22
CanESM5,r21i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.37
CanESM5,r22i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.31
CanESM5,r22i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.38
CanESM5,r23i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.25
CanESM5,r23i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.29
CanESM5,r24i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.32
CanESM5,r24i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.39
CanESM5,r25i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.12
CanESM5,r25i1p2f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.31
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.54
EC-Earth3-Veg-LR,r2i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.53
EC-Earth3-Veg-LR,r3i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.55
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,2.02
EC-Earth3-Veg,r2i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.88
EC-Earth3-Veg,r3i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.76
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.81
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,1.30
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2021-2040,1.24
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.47
GISS-E2-1-G,r1i1p3f1,ssp119,global_mean,Amon,gn,tas,2021-2040,1.41
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.85
IPSL-CM6A-LR,r2i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.95
IPSL-CM6A-LR,r3i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.86
IPSL-CM6A-LR,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.93
IPSL-CM6A-LR,r6i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.81
IPSL-CM6A-LR,r14i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.85
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,1.10
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.28
MIROC-ES2L,r2i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.35
MIROC-ES2L,r3i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.31
MIROC-ES2L,r4i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.30
MIROC-ES2L,r5i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.28
MIROC-ES2L,r6i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.33
MIROC-ES2L,r7i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.31
MIROC-ES2L,r8i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.33
MIROC-ES2L,r9i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.28
MIROC-ES2L,r10i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.30
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,1.51
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.77
UKESM1-0-LL,r2i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.74
UKESM1-0-LL,r3i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.80
UKESM1-0-LL,r4i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.74
UKESM1-0-LL,r8i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.90
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,1.12
CAMS-CSM1-0,r2i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,1.14
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2041-2060,1.43
CNRM-ESM2-1,r2i1p1f2,ssp119,global_mean,Amon,gr,tas,2041-2060,1.50
CNRM-ESM2-1,r3i1p1f2,ssp119,global_mean,Amon,gr,tas,2041-2060,1.62
CNRM-ESM2-1,r4i1p1f2,ssp119,global_mean,Amon,gr,tas,2041-2060,1.75
CNRM-ESM2-1,r5i1p1f2,ssp119,global_mean,Amon,gr,tas,2041-2060,1.56
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.38
CanESM5,r1i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.62
CanESM5,r2i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.52
CanESM5,r2i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.66
CanESM5,r3i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.48
CanESM5,r3i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.49
CanESM5,r4i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.53
CanESM5,r4i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.60
CanESM5,r5i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.43
CanESM5,r5i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.53
CanESM5,r6i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.56
CanESM5,r6i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.60
CanESM5,r7i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.46
CanESM5,r7i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.58
CanESM5,r8i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.46
CanESM5,r8i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.55
CanESM5,r9i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.48
CanESM5,r9i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.53
CanESM5,r10i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.52
CanESM5,r10i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.51
CanESM5,r11i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.65
CanESM5,r11i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.49
CanESM5,r12i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.47
CanESM5,r12i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.50
CanESM5,r13i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.48
CanESM5,r13i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.59
CanESM5,r14i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.43
CanESM5,r14i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.58
CanESM5,r15i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.55
CanESM5,r15i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.44
CanESM5,r16i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.50
CanESM5,r16i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.56
CanESM5,r17i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.38
CanESM5,r17i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.50
CanESM5,r18i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.52
CanESM5,r18i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.63
CanESM5,r19i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.36
CanESM5,r19i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.59
CanESM5,r20i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.47
CanESM5,r20i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.64
CanESM5,r21i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.49
CanESM5,r21i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.61
CanESM5,r22i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.50
CanESM5,r22i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.59
CanESM5,r23i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.47
CanESM5,r23i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.54
CanESM5,r24i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.48
CanESM5,r24i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.61
CanESM5,r25i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.45
CanESM5,r25i1p2f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.56
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,1.62
EC-Earth3-Veg-LR,r2i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,1.89
EC-Earth3-Veg-LR,r3i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.09
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.09
EC-Earth3-Veg,r2i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.02
EC-Earth3-Veg,r3i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,1.94
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.00
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,1.22
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2041-2060,1.25
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.69
GISS-E2-1-G,r1i1p3f1,ssp119,global_mean,Amon,gn,tas,2041-2060,1.73
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.10
IPSL-CM6A-LR,r2i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.23
IPSL-CM6A-LR,r3i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.14
IPSL-CM6A-LR,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.26
IPSL-CM6A-LR,r6i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.06
IPSL-CM6A-LR,r14i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.17
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,1.24
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.42
MIROC-ES2L,r2i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.49
MIROC-ES2L,r3i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.43
MIROC-ES2L,r4i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.47
MIROC-ES2L,r5i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.41
MIROC-ES2L,r6i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.48
MIROC-ES2L,r7i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.45
MIROC-ES2L,r8i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.47
MIROC-ES2L,r9i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.51
MIROC-ES2L,r10i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.41
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,1.68
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,2.19
UKESM1-0-LL,r2i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,2.16
UKESM1-0-LL,r3i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,2.17
UKESM1-0-LL,r4i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,2.16
UKESM1-0-LL,r8i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,2.21
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,0.96
CAMS-CSM1-0,r2i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,1.04
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2081-2100,1.47
CNRM-ESM2-1,r2i1p1f2,ssp119,global_mean,Amon,gr,tas,2081-2100,1.57
CNRM-ESM2-1,r3i1p1f2,ssp119,global_mean,Amon,gr,tas,2081-2100,1.76
CNRM-ESM2-1,r4i1p1f2,ssp119,global_mean,Amon,gr,tas,2081-2100,1.77
CNRM-ESM2-1,r5i1p1f2,ssp119,global_mean,Amon,gr,tas,2081-2100,1.53
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.20
CanESM5,r1i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.30
CanESM5,r2i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.24
CanESM5,r2i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.35
CanESM5,r3i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.27
CanESM5,r3i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.22
CanESM5,r4i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.32
CanESM5,r4i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.25
CanESM5,r5i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.21
CanESM5,r5i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.32
CanESM5,r6i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.29
CanESM5,r6i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.37
CanESM5,r7i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.23
CanESM5,r7i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.34
CanESM5,r8i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.15
CanESM5,r8i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.31
CanESM5,r9i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.19
CanESM5,r9i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.29
CanESM5,r10i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.16
CanESM5,r10i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.29
CanESM5,r11i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.25
CanESM5,r11i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.25
CanESM5,r12i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.26
CanESM5,r12i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.26
CanESM5,r13i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.24
CanESM5,r13i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.32
CanESM5,r14i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.26
CanESM5,r14i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.33
CanESM5,r15i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.34
CanESM5,r15i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.19
CanESM5,r16i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.30
CanESM5,r16i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.30
CanESM5,r17i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.18
CanESM5,r17i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.34
CanESM5,r18i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.25
CanESM5,r18i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.28
CanESM5,r19i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.22
CanESM5,r19i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.25
CanESM5,r20i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.17
CanESM5,r20i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.43
CanESM5,r21i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.20
CanESM5,r21i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.50
CanESM5,r22i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.32
CanESM5,r22i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.32
CanESM5,r23i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.19
CanESM5,r23i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.29
CanESM5,r24i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.28
CanESM5,r24i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.41
CanESM5,r25i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.16
CanESM5,r25i1p2f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.46
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.50
EC-Earth3-Veg-LR,r2i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.68
EC-Earth3-Veg-LR,r3i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,2.00
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,2.12
EC-Earth3-Veg,r2i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.72
EC-Earth3-Veg,r3i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,2.03
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.91
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,1.10
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2081-2100,1.00
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.61
GISS-E2-1-G,r1i1p3f1,ssp119,global_mean,Amon,gn,tas,2081-2100,1.65
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.76
IPSL-CM6A-LR,r2i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.83
IPSL-CM6A-LR,r3i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.81
IPSL-CM6A-LR,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.96
IPSL-CM6A-LR,r6i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.72
IPSL-CM6A-LR,r14i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.86
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,1.08
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.23
MIROC-ES2L,r2i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.25
MIROC-ES2L,r3i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.23
MIROC-ES2L,r4i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.21
MIROC-ES2L,r5i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.24
MIROC-ES2L,r6i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.29
MIROC-ES2L,r7i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.23
MIROC-ES2L,r8i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.22
MIROC-ES2L,r9i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.28
MIROC-ES2L,r10i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.26
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,1.37
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,2.17
UKESM1-0-LL,r2i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,2.30
UKESM1-0-LL,r3i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,2.18
UKESM1-0-LL,r4i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,2.08
UKESM1-0-LL,r8i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,2.29
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,0.99
CAMS-CSM1-0,r2i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,0.95
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2016-2035,1.23
CNRM-ESM2-1,r2i1p1f2,ssp119,global_mean,Amon,gr,tas,2016-2035,1.13
CNRM-ESM2-1,r3i1p1f2,ssp119,global_mean,Amon,gr,tas,2016-2035,1.26
CNRM-ESM2-1,r4i1p1f2,ssp119,global_mean,Amon,gr,tas,2016-2035,1.30
CNRM-ESM2-1,r5i1p1f2,ssp119,global_mean,Amon,gr,tas,2016-2035,1.29
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.03
CanESM5,r1i1p2f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.22
CanESM5,r2i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.16
CanESM5,r2i1p2f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.08
CanESM5,r3i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.17
CanESM5,r3i1p2f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.13
CanESM5,r4i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.18
CanESM5,r4i1p2f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.10
CanESM5,r5i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.09
CanESM5,r5i1p2f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.20
CanESM5,r6i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.16
CanESM5,r6i1p2f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.22
CanESM5,r7i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.12
CanESM5,r7i1p2f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.24
CanESM5,r8i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.11
