model,ens,exp,postprocess,table,varn,period,mean
GISS-E2-R,r2i1p3,rcp45,global_mean,Amon,tas,1850-1900,287.64
GISS-E2-R,r3i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.49
GISS-E2-R,r3i1p2,rcp45,global_mean,Amon,tas,1850-1900,287.65
GISS-E2-R,r3i1p3,rcp45,global_mean,Amon,tas,1850-1900,287.62
GISS-E2-R,r4i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.43
GISS-E2-R,r4i1p2,rcp45,global_mean,Amon,tas,1850-1900,287.68
GISS-E2-R,r4i1p3,rcp45,global_mean,Amon,tas,1850-1900,287.62
GISS-E2-R,r5i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.44
GISS-E2-R,r5i1p2,rcp45,global_mean,Amon,tas,1850-1900,287.64
GISS-E2-R,r5i1p3,rcp45,global_mean,Amon,tas,1850-1900,287.58
GISS-E2-R,r6i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.45
GISS-E2-R,r6i1p3,rcp45,global_mean,Amon,tas,1850-1900,287.67
IPSL-CM5A-LR,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.24
IPSL-CM5A-LR,r2i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.25
IPSL-CM5A-LR,r3i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.24
IPSL-CM5A-LR,r4i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.18
IPSL-CM5A-MR,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.19
IPSL-CM5B-LR,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.94
MIROC5,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.69
MIROC5,r2i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.53
MIROC5,r3i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.55
MPI-ESM-LR,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.56
MPI-ESM-LR,r2i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.49
MPI-ESM-LR,r3i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.58
MPI-ESM-MR,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.78
MPI-ESM-MR,r2i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.79
MPI-ESM-MR,r3i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.80
MRI-CGCM3,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.72
NorESM1-ME,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,285.90
NorESM1-M,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.28
bcc-csm1-1-m,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,287.51
bcc-csm1-1,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.93
inmcm4,r1i1p1,rcp45,global_mean,Amon,tas,1850-1900,286.33
CCSM4,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.44
CCSM4,r2i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.44
CCSM4,r3i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.51
CCSM4,r4i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.45
CCSM4,r5i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.48
CCSM4,r6i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.44
CESM1-CAM5,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.23
CESM1-CAM5,r2i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.27
CESM1-CAM5,r3i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.23
CSIRO-Mk3-6-0,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.85
CSIRO-Mk3-6-0,r2i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.91
CSIRO-Mk3-6-0,r3i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.87
CSIRO-Mk3-6-0,r4i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.93
CSIRO-Mk3-6-0,r5i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.84
CSIRO-Mk3-6-0,r6i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.82
CSIRO-Mk3-6-0,r7i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.88
CSIRO-Mk3-6-0,r8i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.92
CSIRO-Mk3-6-0,r9i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.90
CSIRO-Mk3-6-0,r10i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.81
FIO-ESM,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.44
FIO-ESM,r2i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.45
FIO-ESM,r3i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.45
GISS-E2-H,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,287.90
GISS-E2-H,r1i1p2,rcp60,global_mean,Amon,tas,1850-1900,288.07
GISS-E2-H,r1i1p3,rcp60,global_mean,Amon,tas,1850-1900,288.19
GISS-E2-R,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,287.50
GISS-E2-R,r1i1p2,rcp60,global_mean,Amon,tas,1850-1900,287.62
GISS-E2-R,r1i1p3,rcp60,global_mean,Amon,tas,1850-1900,287.64
IPSL-CM5A-LR,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.24
IPSL-CM5A-MR,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.19
MIROC5,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,287.69
MIROC5,r2i1p1,rcp60,global_mean,Amon,tas,1850-1900,287.53
MIROC5,r3i1p1,rcp60,global_mean,Amon,tas,1850-1900,287.55
MRI-CGCM3,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.72
NorESM1-ME,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,285.90
NorESM1-M,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.28
bcc-csm1-1-m,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,287.51
bcc-csm1-1,r1i1p1,rcp60,global_mean,Amon,tas,1850-1900,286.93
ACCESS1-0,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.78
ACCESS1-3,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.13
BNU-ESM,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.06
CCSM4,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.44
CCSM4,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.44
CCSM4,r3i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.51
CCSM4,r4i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.45
CCSM4,r5i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.48
CCSM4,r6i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.44
CESM1-BGC,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.59
CESM1-CAM5,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.23
CESM1-CAM5,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.27
CESM1-CAM5,r3i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.23
CMCC-CESM,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.90
CMCC-CMS,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.00
CMCC-CM,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.53
CNRM-CM5,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.47
CNRM-CM5,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.51
CNRM-CM5,r4i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.43
CNRM-CM5,r6i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.39
CNRM-CM5,r10i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.41
CSIRO-Mk3-6-0,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.85
CSIRO-Mk3-6-0,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.91
CSIRO-Mk3-6-0,r3i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.87
CSIRO-Mk3-6-0,r4i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.93
CSIRO-Mk3-6-0,r5i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.84
CSIRO-Mk3-6-0,r6i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.82
CSIRO-Mk3-6-0,r7i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.88
CSIRO-Mk3-6-0,r8i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.92
CSIRO-Mk3-6-0,r9i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.90
CSIRO-Mk3-6-0,r10i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.81
CanESM2,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.81
CanESM2,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.81
CanESM2,r3i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.83
CanESM2,r4i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.79
CanESM2,r5i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.81
